SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P08956	T1RK_ECOLI	Type I restriction enzyme EcoKI R protein (EC 3.1.21.3) (R.EcoKI)	5	164	63	0.08	2.01E-01	1.14E+02	0.011483254	136103	5.84	-0.49	32	0.39	N			63.03.40	"63.03.01;03;63.19;63;40.03;63.03;03.01.09;40;03.01.09.03;03.01;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low		621	no	2.056904851
P0A867	TALA_ECOLI	Transaldolase A (EC 2.2.1.2)	10	420	21	0.48	1.99E+00	4.32E+02	0.009569378	35660	6.2	-0.31	6		N			01.40.02	"01;02.07;40.03;02;01.05;40;01.05.01;01.05.01.01;"	"METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	low		436	no	2.635483747
P0A870	TALB_ECOLI	Transaldolase B (EC 2.2.1.2)	50	2601	20	2.5	3.15E+02	8.19E+03	0.045454545	35089	4.94	-0.22	4	0.59	N		1.58	01.40.02	"01;02.07;40.03;02;01.05;40;01.05.01;01.05.01.01;"	"METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	high		37	no	3.913283902
P0A9T4	TAS_ECOLI	Tas protein	3	158	10	0.3	9.95E-01	2.89E+02	0.006379585	38501	6.75	-0.32	9					67.63.08	"67.01;63.17;63;63.17.03;67.01.01;08;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "	c.1	"c.1.7;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown		low		791	no	2.460897843
P69428	TATA_ECOLI	Sec-independent protein translocase protein tatA	3	105	5	0.6	2.98E+00	5.46E+02	0.009569378	9665	5.89	-0.47	2					40.08.06	"08.16;06.04;40;40.30;06;08.16.11;08;"	"SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; PROTEIN FATE (folding. modification. destination); "					1	Unknown		low		868	no	2.737192643
P69425	TATB_ECOLI	Sec-independent protein translocase protein tatB	2	70	8	0.25	7.78E-01	2.50E+02	0.009569378	18422	4.99	-0.38	4					8.06	"08.16;06.04;06;08.16.11;08;"	"CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; PROTEIN FATE (folding. modification. destination); "					1	Unknown	IM	low		894	no	2.397940009
P31550	TBPA_ECOLI	Thiamine-binding periplasmic protein precursor	13	543	12	1.08	1.11E+01	1.17E+03	0.006256901	36164	7.21	-0.18	8	0.36	N			67.01.40	"01;40.28;67.12;01.07;40;01.07.10;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic		low		347	no	3.068185862
P07913	TDH_ECOLI	L-threonine 3-dehydrogenase (EC 1.1.1.103)	6	269	11	0.55	2.51E+00	4.94E+02	0.009569378	37240	6.35	0.05	8					01.63.40	"01;63;63.17;63.21.07;01.01.10;40.03;01.01.10.03;63.17.09;01.01;63.17.07;40;63.21;01.01.10.03.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	b.35.c.2	"b.35.1;c.2.1;"	Alpha and beta proteins (a/b).All beta proteins	NAD(P)-binding Rossmann-fold domains.GroES-like	0	Cytoplasmic		low	kbl-tdh	587	no	2.693726949
P25397	TEHB_ECOLI	Tellurite resistance protein tehB	6	211	11	0.55	2.51E+00	4.94E+02	0.004784689	22532	7.36	-0.38	7	0.34	N			11	"11.05.01.03;11.05.01;11.05.01.03.03;11;11.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; "	c.66	"c.66.1;"	Alpha and beta proteins (a/b)	S-adenosyl-L-methionine-dependent methyltransferases	0	Cytoplasmic	C	low	tehAB	617	no	2.693726949
P0ADA1	TESA_ECOLI	Acyl-CoA thioesterase I precursor (EC 3.1.2.-) (Protease I) (Lysophospholipase L1) (EC 3.1	2	103	12	0.17	4.68E-01	1.86E+02	0.004784689	23623	7.85	-0.2	7	0.27	N			1.4	"01.06;01.06.04;01;40.28;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "					1	Periplasmic		low		824	no	2.269512944
P0AGG2	TESB_ECOLI	Acyl-CoA thioesterase II (EC 3.1.2.-) (TEII)	4	138	12	0.33	1.15E+00	3.15E+02	0.004784689	31836	6.66	-0.26	8					1.02	"01.06;01;01.06.07;02.25;02;"	"METABOLISM; ENERGY; "	d.38	"d.38.1;"	Alpha and beta proteins (a+b)	Thioesterase/thiol ester dehydrase-isomerase	0	Unknown		low		760	no	2.498310554
P0A847	TGT_ECOLI	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (tRNA-guanine transglycosylase) (Guanine ins	14	563	19	0.74	4.46E+00	6.90E+02	0.004784689	42595	6.36	-0.41	16					01.63.04	"01;01.03;63.17;63;04;04.03;01.03.10;63.17.09;63.17.07;04.03.06;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	c.1	"c.1.20;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic		low	tgt-yajC-secDF	329	no	2.838849091
P0AGF6	THD2_ECOLI	Threonine dehydratase catabolic (EC 4.3.1.19) (Threonine deaminase)	2	62	16	0.13	3.34E-01	1.53E+02	0.004784689	35234	6	0.04	13	0.38	N			63.01.40.02.13	"01;63.19;02.13.01;63;40.03;13.11;02;01.01.10.03;13.11.03.01;02.16.11;63.21.17;63.19.03;01.01;13.11.03;13;01.01.10.05.01;01.01.10.05;40;02.13;01.01.10.03.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	c.79	"c.79.1;"	Alpha and beta proteins (a/b)	Tryptophan synthase beta subunit-like PLP-dependent enzymes	0	Cytoplasmic		low	tdcABCDEFG	1037	no	2.184691431
P0AGG4	THI2_ECOLI	Thioredoxin 2 (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase) (Trx2)	2	94	7	0.29	9.31E-01	2.78E+02	0.007177033	15556	4.86	-0.2	4		E			11.63.02	"11.01.01;11.01;63.17;63;02;63.17.09;11;02.11;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.47	"c.47.1;c.47.1;c.47.1;"	Alpha and beta proteins (a/b)	Thioredoxin fold	0	Cytoplasmic	C	low		841	no	2.444044796
P30136	THIC_ECOLI	Thiamine biosynthesis protein thiC	32	1532	26	1.23	1.60E+01	1.45E+03	0.01270933	70852	5.99	-0.39	21					1	"01;01.07;01.07.01;"	"METABOLISM; "					0	Cytoplasmic		low	thiCEFGH	94	no	3.161368002
P76422	THID_ECOLI	Phosphomethylpyrimidine kinase (EC 2.7.4.7) (HMP-phosphate kinase) (HMP-P kinase)	2	59	12	0.17	4.68E-01	1.86E+02	0.004784689	28635	6.1	-0.04	8		N			1	"01;01.07;01.07.01;"	"METABOLISM; "	c.72	"c.72.1;"	Alpha and beta proteins (a/b)	Ribokinase-like	0	Unknown	C	low		1051	no	2.269512944
P30137	THIE_ECOLI	Thiamine-phosphate pyrophosphorylase (EC 2.5.1.3) (TMP pyrophosphorylase) (TMP-PPase) (Thi	4	184	9	0.44	1.78E+00	4.05E+02	0.004784689	23016	5.66	0.03	9					1	"01;01.07;01.07.01;"	"METABOLISM; "	c.1	"c.1.3;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	low	thiCEFGH	713	no	2.607455023
P30138	THIF_ECOLI	Adenylyltransferase thiF (EC 2.7.7.-)	4	251	9	0.44	1.78E+00	4.05E+02	0.004784689	26971	4.53	-0.04	7	0.27	N			01.63.62	"01;62.01;63.17;62.01.07;63;63.01;01.07;63.17.09;01.07.01;62;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN ACTIVITY REGULATION; "	c.111	"c.111.1;"	Alpha and beta proteins (a/b)	Molybdenum cofactor biosynthesis protein MoeB	1	Unknown		low	thiCEFGH	630	no	2.607455023
P30139	THIG_ECOLI	Thiazole biosynthesis protein thiG	11	499	12	0.92	7.25E+00	9.15E+02	0.013919095	26897	5.38	0.3	4					1.4	"01;40.03;01.07;01.07.01;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.83.c.1	"c.1.1;c.1.2;c.1.2;c.1.4;c.1.3;c.1.2;c.83.1;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel.Aconitase iron-sulfur domain	0	Cytoplasmic		low	thiCEFGH	395	no	2.961421094
P77718	THII_ECOLI	Thiamine biosynthesis protein thiI	12	456	24	0.5	2.16E+00	4.53E+02	0.007575758	54974	6.59	-0.22	17					1.04	"01;04;04.03;01.07;04.03.06;01.07.01;"	"METABOLISM; TRANSCRIPTION; "					0	Cytoplasmic		low		351	no	2.656098202
Q46948	THIJ_ECOLI	4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis enzyme	3	137	8	0.38	1.37E+00	3.48E+02	0.004784689	20778	5.1	0.32	4	0.4	N			11.06	"11.01;06.13;11;06;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN FATE (folding. modification. destination); "	c.23	"c.23.16;"	Alpha and beta proteins (a/b)	Flavodoxin-like	0	Unknown		low		810	no	2.541579244
P76423	THIM_ECOLI	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (T	2	130	7	0.29	9.31E-01	2.78E+02	0.004784689	27340	5.93	0.22	7					1	"01;01.07;01.07.01;"	"METABOLISM; "	c.72	"c.72.1;"	Alpha and beta proteins (a/b)	Ribokinase-like	0	Unknown		low		922	no	2.444044796
P0AA25	THIO_ECOLI	Thioredoxin 1 (TRX1) (TRX)	10	631	6	1.67	4.54E+01	2.66E+03	0.064114833	11676	4.52	0.01	5				1.06	67.06	"67.15;06;06.01;67;"	"TRANSPORT FACILITATION; PROTEIN FATE (folding. modification. destination); "	c.47	"c.47.1;c.47.1;c.47.1;"	Alpha and beta proteins (a/b)	Thioredoxin fold	0	Cytoplasmic	C	high	trxA	379	no	3.424881637
P00934	THRC_ECOLI	Threonine synthase (EC 4.2.3.1)	17	894	17	1	9.00E+00	1.04E+03	0.010695187	47115	5.16	-0.1	11	0.37	N			01.63.40	"01.01.01;01.01;01;63;01.01.01.07.03;40.03;01.01.01.07;63.21.17;40;63.21;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.79	"c.79.1;"	Alpha and beta proteins (a/b)	Tryptophan synthase beta subunit-like PLP-dependent enzymes	0	Unknown	C	low	thrLABC	214	no	3.017033339
P31142	THTM_ECOLI	3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2) (Rhodanese-like protein) (MST)	5	209	11	0.45	1.85E+00	4.14E+02	0.006698565	30682	4.4	-0.09	12					11.01.40	"01;40.03;01.02;11;40;11.07;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; SUBCELLULAR LOCALISATION; "	c.46	"c.46.1;"	Alpha and beta proteins (a/b)	Rhodanese/Cell cycle control phosphatase	0	Cytoplasmic		low		660	no	2.617000341
P0A850	TIG_ECOLI	Trigger factor (TF)	84	4237	24	3.5	3.16E+03	3.12E+04	0.052403737	48194	4.64	-0.43	18				2.05	11.06.14	"14.01;11.01;11.01.06;06.07;14.01.05;11;06.07.99;06;14;06.01;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN FATE (folding. modification. destination); CELL FATE; "	d.26	"d.26.1;"	Alpha and beta proteins (a+b)	FKBP-like	0	Cytoplasmic	C	high		11	no	4.494154594
P37666	TKRA_ECOLI	2-ketogluconate reductase (EC 1.1.1.215) (2KR) (2-ketoaldonate reductase)	6	267	11	0.55	2.51E+00	4.94E+02	0.007177033	35397	5.72	0.01	11					01.63.40	"01.05.01.03.01;01;63;63.21.07;40.03;01.05;40;63.21;01.05.01;01.05.01.01;01.05.01.01.01;01.05.01.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.23.c.2	"c.23.12;c.2.1;"	Alpha and beta proteins (a/b)	NAD(P)-binding Rossmann-fold domains.Flavodoxin-like	0	Cytoplasmic	C	low		588	no	2.693726949
P27302	TKT1_ECOLI	Transketolase 1 (EC 2.2.1.1) (TK 1)	43	2158	20	2.15	1.40E+02	5.11E+03	0.05029487	72213	5.48	-0.23	20	0.68	E		2	1.63	"63.21.11;01;63.17;01.04;63.13.01;63;63.13;01.05;63.21;01.05.01;63.17.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.48.c.36	"c.48.1;c.36.1;c.36.1;"	Alpha and beta proteins (a/b)	Thiamin diphosphate-binding fold (THDP-binding).Transketolase C-terminal domain-like	0	Cytoplasmic	C	high		54	no	3.7084209
P33570	TKT2_ECOLI	Transketolase 2 (EC 2.2.1.1) (TK 2)	4	143	23	0.17	4.92E-01	1.92E+02	0.004784689	73044	6.27	-0.31	15	0.36	N			1.63	"63.21.11;01;63.17;01.04;63.13.01;63;63.13;01.05;63.21;01.05.01;63.17.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.48.c.36	"c.48.1;c.36.1;"	Alpha and beta proteins (a/b)	Thiamin diphosphate-binding fold (THDP-binding).Transketolase C-terminal domain-like	0	Cytoplasmic		low		753	no	2.283301229
P0AGG8	TLDD_ECOLI	TldD protein	4	143	17	0.24	7.19E-01	2.39E+02	0.004784689	51365	4.77	-0.12	17	0.42	N			01.40.06	"01.05.04;01;06.07;06.13;40.03;01.05;40;01.05.01;06;06.07.11;"	"METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "					0	Cytoplasmic	C	low		754	no	2.378397901
P0A853	TNAA_ECOLI	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	18	754	21	0.86	6.20E+00	8.35E+02	0.019670388	52775	6.16	-0.22	13					1.63	"01.01;01;01.01.10.05.07;63;01.01.10;01.01.10.05;63.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.67	"c.67.1;c.67.1;"	Alpha and beta proteins (a/b)	PLP-dependent transferases	0	Cytoplasmic		low	tnaCAB	208	no	2.921686475
P19934	TOLA_ECOLI	TolA protein	5	182	11	0.45	1.85E+00	4.14E+02	0.005741627	43158	9.85	-0.61	7	0.39	N			99	"99;"	"UNCLASSIFIED PROTEINS; "	d.212	"d.212.1;"	Alpha and beta proteins (a+b)	TolA/TonB C-terminal domain	1	CytoplasmicMembrane		low	ybgC-tolQRA	674	no	2.617000341
P0A855	TOLB_ECOLI	TolB protein precursor	15	879	14	1.07	1.08E+01	1.15E+03	0.007974482	45957	7.88	-0.22	16	0.44	N		1.05	11.67.40.06	"67.11;11.05.01.05;40.28;11.05.01;06.04;11;40;06;11.05;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	c.51.b.68	"c.51.2;b.68.4;"	Alpha and beta proteins (a/b).All beta proteins	6-bladed beta-propeller.Anticodon-binding domain-like	0	Periplasmic	P	low	tolB-pal-ybgF	276	no	3.06069784
P02930	TOLC_ECOLI	Outer membrane protein tolC precursor	17	611	19	0.89	6.85E+00	8.85E+02	0.010695187	54015	5.38	-0.43	17	0.39	N			67.63.40.30	"67.01;63;40.31;30;30.31;63.01;40;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CONTROL OF CELLULAR ORGANIZATION; "	f.5	"f.5.1;"	Membrane and cell surface proteins and peptides	Integral outer membrane protein TolC. efflux pump component	0	OuterMembrane	OM	low		255	no	2.946943271
P0ABU9	TOLQ_ECOLI	TolQ protein	4	154	9	0.44	1.78E+00	4.05E+02	0.004784689	25599	7.1	0.23	6	0.35	N			11.67.40.06	"67.11;11.05.05;06.04;11;11.05.05.03;40;40.30;06;11.05;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "					3	CytoplasmicMembrane		low	ybgC-tolQRA	743	no	2.607455023
P06612	TOP1_ECOLI	DNA topoisomerase I (EC 5.99.1.2) (Omega-protein) (Relaxing enzyme) (Untwisting enzyme) (S	25	1189	41	0.61	3.07E+00	5.56E+02	0.014354067	97351	8.56	-0.61	20	0.44	E			63.03.40	"03.01.03.01;63.03.01;03;63;63.03;03.01.03;40.37;40;03.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; "	g.41.e.10	"e.10.1;g.41.3;"	Multi-domain proteins (alpha and beta).Small proteins	Prokaryotic type I DNA topoisomerase.Rubredoxin-like	0	Unknown		low		143	no	2.745074792
P33226	TORC_ECOLI	Cytochrome c-type protein torC	2	57	17	0.12	3.11E-01	1.47E+02	0.014354067	43608	7.81	-0.5	18					67.04.02	"02.13.01;04;04.05;04.05.01.04.03;04.05.01;04.05.01.04;02;67.15;02.13;02.11.05;02.11;67;"	"TRANSPORT FACILITATION; TRANSCRIPTION; ENERGY; "					1	CytoplasmicMembrane		low	torCAD	1059	no	2.167317335
P0A858	TPIS_ECOLI	Triosephosphate isomerase (EC 5.3.1.1) (TIM) (Triose-phosphate isomerase)	31	1330	9	3.44	2.78E+03	2.90E+04	0.025929927	26973	5.89	0.01	8				2.08	1.02	"01.06;01;02.01;02;01.05;01.05.01;01.05.01.01;01.06.01;01.05.01.01.01;"	"METABOLISM; ENERGY; "	c.1	"c.1.1;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	high		104	no	4.462397998
P0A862	TPX_ECOLI	Thiol peroxidase (EC 1.11.1.-) (Scavengase P20)	17	1160	6	2.83	6.80E+02	1.28E+04	0.060793695	17705	4.59	0.25	3				1.19	11.01.63.40	"11.07.07;01;63;63.21.07;40.28;63.01;01.02;11;40;63.21;11.07;11.07.07.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "					0	Unknown	C	high		236	no	4.10720997
P28904	TREC_ECOLI	Trehalose-6-phosphate hydrolase (EC 3.2.1.93) (Alpha.alpha-phosphotrehalase)	6	235	20	0.3	9.95E-01	2.89E+02	0.013556619	63839	5.71	-0.56	22	0.32	N			11.01	"11.01;01;01.05;11;01.05.01;01.05.01.01;11.01.03;01.05.01.01.01;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; "	c.1.b.71	"b.71.1;c.1.8;"	Alpha and beta proteins (a/b).All beta proteins	TIM beta/alpha-barrel.alpha-Amylases. C-terminal beta-sheet domain	0	Cytoplasmic		low	treBC	555	no	2.460897843
P23003	TRMA_ECOLI	tRNA (Uracil-5-)-methyltransferase (EC 2.1.1.35) (tRNA(M-5-U54)-methyltransferase) (RUMT)	2	82	17	0.12	3.11E-01	1.47E+02	0.009569378	41968	6	-0.32	13					01.63.04	"04.03.03;01;01.03;01.03.01.03;63;04;04.03;63.03.03;63.03;01.03.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	c.66	"c.66.1;"	Alpha and beta proteins (a/b)	S-adenosyl-L-methionine-dependent methyltransferases	0	Unknown	C	low	trmA	767	no	2.167317335
P0A873	TRMD_ECOLI	tRNA (Guanine-N(1)-)-methyltransferase (EC 2.1.1.31) (M1G-methyltransferase) (tRNA [GM37]	3	154	9	0.33	1.15E+00	3.15E+02	0.004784689	28423	5.65	-0.31	7					40.04	"04;04.03;04.03.06;40;40.02;"	"SUBCELLULAR LOCALISATION; TRANSCRIPTION; "					0	Cytoplasmic		low	rpsP-rimM-trmD-rplS	794	no	2.498310554
P25745	TRMU_ECOLI	Probable tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	5	246	11	0.45	1.85E+00	4.14E+02	0.009569378	40847	5	-0.25	12					40.04	"04;04.03;40.03;04.03.06;40;"	"SUBCELLULAR LOCALISATION; TRANSCRIPTION; "	c.26	"c.26.2;"	Alpha and beta proteins (a/b)	Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic		low		636	no	2.617000341
P0A877	TRPA_ECOLI	Tryptophan synthase alpha chain (EC 4.2.1.20)	3	95	14	0.21	6.38E-01	2.23E+02	0.004784689	28725	5.23	0.12	2					1.63	"01.01.01;01.01;01;01.04;63;01.01.10;01.01.01.11;63.11;01.01.10.05.01;01.01.10.05;63.01;01.01.01.11.13;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.1	"c.1.2;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic	C	low	trpLEDCBA	885	no	2.348304863
P60340	TRUB_ECOLI	tRNA pseudouridine synthase B (EC 4.2.1.70) (tRNA pseudouridine 55 synthase) (Psi55 syntha	2	92	12	0.17	4.68E-01	1.86E+02	0.007177033	35088	5.83	-0.37	5					01.40.04	"01;01.03;04;04.03;40.03;04.03.06;40;01.03.04;"	"METABOLISM; SUBCELLULAR LOCALISATION; TRANSCRIPTION; "	d.58	"d.58.35;"	Alpha and beta proteins (a+b)	Ferredoxin-like	0	Cytoplasmic		low	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	956	no	2.269512944
P0AA41	TRUC_ECOLI	tRNA pseudouridine synthase C (EC 4.2.1.70) (Pseudouridylate synthase) (Uracil hydrolyase)	5	155	12	0.42	1.61E+00	3.82E+02	0.004784689	29667	7.1	-0.5	9					1.04	"01;01.03;04;04.03;04.03.06;01.03.04;"	"METABOLISM; TRANSCRIPTION; "					0	Cytoplasmic		low		686	no	2.582063363
Q57261	TRUD_ECOLI	tRNA pseudouridine synthase D (EC 4.2.1.70) (Pseudouridylate synthase) (Uracil hydrolyase)	6	296	18	0.33	1.15E+00	3.15E+02	0.00877193	39093	6.53	-0.27	13					4	"04.01;04;04.03;04.03.06;04.01.04;"	"TRANSCRIPTION; "					0	Cytoplasmic		low		525	no	2.498310554
P0A9P4	TRXB_ECOLI	Thioredoxin reductase (EC 1.8.1.9) (TRXR)	24	1152	12	2	9.90E+01	4.18E+03	0.012161085	34493	5.29	-0.2	10					01.63.40	"01;01.03;63;63.21.07;01.20.37;40.03;01.20.37.01;40;63.21;01.20;63.21.05;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.4.c.3	"c.4.1;c.4.1;c.3.1;c.3.1;"	Alpha and beta proteins (a/b)	Nucleotide-binding domain.FAD/NAD(P)-binding domain	0	Unknown (This protein may have multiple localization sites.)	C	high		154	no	3.621176282
P0A927	TSX_ECOLI	Nucleoside-specific channel-forming protein tsx precursor	12	579	7	1.71	5.08E+01	2.83E+03	0.009968102	33590	4.99	-0.51	10	0.62	N		2.07	11.67.01.08	"01;11.05.01.05;01.03;11.05.01;67.17;08.19;11;01.03.19;08;11.05;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; METABOLISM; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; "					0	OuterMembrane	OM	high	tsx	359	no	3.451786436
P32132	TYPA_ECOLI	GTP-binding protein typA/BipA (Tyrosine phosphorylated protein A)	33	1591	19	1.74	5.36E+01	2.92E+03	0.042627229	67357	5.04	-0.3	23					11.63.30	"11.05.05.07;63.19.05;63.19;63;11.05.05;30;11.05.05.99;11;30.04.03;30.04;11.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CONTROL OF CELLULAR ORGANIZATION; "	c.37.d.58	"c.37.1;d.58.11;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	P-loop containing nucleotide triphosphate hydrolases.Ferredoxin-like	0	Unknown (This protein may have multiple localization sites.)	C	high		93	no	3.465382851
P07650	TYPH_ECOLI	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	61	3156	23	2.65	4.48E+02	1.00E+04	0.044317201	47208	5.08	0.01	13	0.47	N			1.4	"01.03.01.01;01;01.03;01.03.07.01;40.03;01.03.07;01.03.01;01.03.04.01;40;01.03.04;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	d.41.c.27.a.46	"c.27.1;a.46.2;d.41.3;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All alpha proteins	Methionine synthase domain-like.alpha/beta-Hammerhead.Pyrimidine nucleoside phosphorylase central domain	0	Unknown		high	deoCABD	25	no	4
P04693	TYRB_ECOLI	Aromatic-amino-acid aminotransferase (EC 2.6.1.57) (AROAT) (ARAT)	9	422	16	0.56	2.65E+00	5.10E+02	0.01010101	43539	5.24	0.01	9	0.29	E			01.63.40	"01.01.01;01.01;01;01.01.01.01;63;40.03;01.01.01.01.02.05;63.21.17;40;63.21;01.01.01.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.67	"c.67.1;c.67.1;c.67.1;"	Alpha and beta proteins (a/b)	PLP-dependent transferases	0	Cytoplasmic	C	low	tyrB	457	no	2.707570176
P07604	TYRR_ECOLI	Transcriptional regulatory protein tyrR	3	92	26	0.12	3.04E-01	1.45E+02	0.006379585	57657	5.6	-0.21	19	0.28	N			63.01.04	"01.01.01;01;63.19;63;04.05;04.05.01.04;63.19.03;01.01;04;63.11;04.05.01;01.01.07;63.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; TRANSCRIPTION; "	a.4	"a.4.1;"	All alpha proteins	DNA/RNA-binding 3-helical bundle	0	Cytoplasmic	C	low	tyrR	890	no	2.161368002
