Accession	Biological Process (Uniprot)
C4ZX76	polyphosphate biosynthetic process|phosphorylation
P18473	conjugation
P76372	lipopolysaccharide biosynthetic process
P15031	transport|ion transport|iron ion homeostasis
B1XBA8	oxidation-reduction process|hydrogen peroxide catabolic process
C5A0Q8	cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation
C4ZR64	oxidation-reduction process
C4ZSL0	transport
C4ZPZ6	oxidation-reduction process|cellular amino acid biosynthetic process|leucine biosynthetic process|branched chain family amino acid biosynthetic process
P31826	transport
B1X8Z5	oxidation-reduction process
P0ACI3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZY45	oxidation-reduction process
C4ZYT0	transport
P0A7F3	pyrimidine nucleotide biosynthetic process
P23837	two-component signal transduction system (phosphorelay)|phosphorylation
B1X9X2	cellular amino acid biosynthetic process|asparagine biosynthetic process
C4ZU98	response to antibiotic|lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process
P0A9N0	phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P33596	DNA repair|SOS response|response to DNA damage stimulus
P39177	response to stress
P0ADA3	cell cycle|cell division
P0A9N8	oxidation-reduction process
B1X6J3	tRNA processing
B1XHN8	transport
P0CF92	transposition|DNA recombination
P08401	two-component signal transduction system (phosphorelay)|phosphorylation
C5A082	transport|ion transport|iron ion homeostasis
P0A890	tRNA processing
P0AGE6	oxidation-reduction process
B1XC08	purine nucleotide biosynthetic process
B1XB20	oxidation-reduction process
B1XEK4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XEA7	methylation
C4ZQP2	transport|electron transport chain
C4ZSG2	transport
P0ACL9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XA00	phospholipid biosynthetic process
C4ZWC9	translation
P77256	oxidation-reduction process
P26612	carbohydrate metabolic process|metabolic process
B1XC35	carbohydrate transport|transport|ion transport
P39901	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77165	oxidation-reduction process|purine base metabolic process|purine ribonucleoside salvage
P69820	transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1XBK3	barrier septum formation|cell cycle|cell division
P24255	arginine metabolic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A9J0	cell cycle|cell division
P60932	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P0ACS9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AAL9	transport|electron transport chain
B1XDA0	oxidation-reduction process
P0A870	pentose-phosphate shunt
P03023	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P41441	transport
D0VEY6	phospholipid biosynthetic process
B1X857	DNA repair|response to DNA damage stimulus
P75948	phosphorylation
C4ZUX2	lipid A biosynthetic process|lipid biosynthetic process
B1XF65	transport
P76474	transport|lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process
P0AEK2	oxidation-reduction process|lipid biosynthetic process|fatty acid biosynthetic process
P17410	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A836	tricarboxylic acid cycle
P0AG55	response to antibiotic
B1X866	phosphorylation
C4ZTV4	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XGK8	arginine metabolic process
B1XAA7	oxidation-reduction process|porphyrin biosynthetic process
B1XHM7	transport|sodium ion transport|ion transport
C4ZYB5	tRNA processing
B1X6F2	transport|protein transport|transmembrane transport
P27240	lipopolysaccharide biosynthetic process|phosphorylation
P0AFP9	transport
B1XCN7	oxidation-reduction process|transport|electron transport chain
P0ABY2	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1XB76	carbohydrate transport|transport
B1X786	glycolysis
P16095	gluconeogenesis
P0ADC6	transport
P76198	transport
C4ZPY6	arabinose catabolic process|carbohydrate metabolic process|phosphorylation
P77150	phosphorylation
P23909	DNA repair|response to DNA damage stimulus
B1XHC9	DNA repair|SOS response|DNA recombination|response to DNA damage stimulus
P02942	chemotaxis|signal transduction
P37306	arginine metabolic process|phosphorylation
B1XFL9	oxidation-reduction process|transport|electron transport chain
P0A7D4	purine nucleotide biosynthetic process
C4ZU99	lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
B1XBN5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZWI3	protein-chromophore linkage
P0AFN6	transport
P32705	transport|sodium ion transport|ion transport
P14176	amino acid transport|transport
B1XHL0	cellular amino acid biosynthetic process|arginine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
P33226	transport|electron transport chain
B1XBM4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XAT0	DNA replication|phosphorylation|DNA metabolic process
C4ZZY1	phosphorylation
P76254	oxidation-reduction process|transport|electron transport chain
C5A0L2	transport
P10907	carbohydrate transport|transport
B1X7H2	transport
P0A6F5	cell cycle|cell division
C4ZZ43	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X722	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZXV1	DNA repair|SOS response|response to DNA damage stimulus
P76217	oxidation-reduction process|arginine metabolic process|response to stress
Q1PI59	oxidation-reduction process|tricarboxylic acid cycle
P0C0U4	translation
C4ZZ93	carbohydrate transport|transport
B1X980	DNA repair|response to DNA damage stimulus|DNA replication
P31060	DNA repair|transport|response to DNA damage stimulus
C5A0L6	glutathione biosynthetic process
C4ZYT7	quorum sensing
P0A7Z4	transcription, DNA-dependent
C4ZVP0	transport
C4ZYH4	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation
P75691	oxidation-reduction process
C4ZZ13	transport|proton transport|ion transport|ATP biosynthetic process
B1XGI1	translation
B1XDG1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A962	metabolic process
C4ZZZ1	lysine biosynthetic process
B1X624	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X813	oxidation-reduction process
B1XBC8	cellular amino acid biosynthetic process|threonine biosynthetic process|phosphorylation
B1XA72	oxidation-reduction process|transport|electron transport chain
B1XA84	cellular amino acid biosynthetic process|transport|cysteine biosynthetic process
P22729	amino acid transport|transport
P69831	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|galactitol metabolic process
B1XHL5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFG8	oxidation-reduction process|glycolysis
B1X8S0	response to stress
B1X831	transport|protein transport
Q47537	transport
P60240	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ABU7	bacteriocin transport|transport|protein transport
C4ZQ20	oxidation-reduction process
P0ACF4	chromosome condensation
C4ZRD5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P38393	cell cycle|cell division
P0A8S9	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
B1XD50	lipid A biosynthetic process|lipid biosynthetic process
P19323	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
B1XGB2	phosphorylation
C5A133	ubiquinone biosynthetic process
P75892	transport
P07014	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain
C4ZW01	transport
P32137	transport
C4ZTR6	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZYY4	tRNA processing
B1XD69	amino acid transport|transport
P0AFH2	transport|protein transport|peptide transport
C4ZTN1	alanine metabolic process|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P0AER8	transport|sodium ion transport|ion transport
P77396	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0Q6	protein modification process
C4ZR73	carbohydrate metabolic process
P06611	transport
C5A0J1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A0B6	transport
P0AG80	transport
C4ZZF5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XD16	cytochrome complex assembly|oxidation-reduction process|transport|electron transport chain
C4ZSI0	galactitol metabolic process
B1XD54	lipid biosynthetic process|fatty acid biosynthetic process
C4ZRR3	pyrimidine nucleotide biosynthetic process|phosphorylation
B1XCP9	oxidation-reduction process
C4ZYJ6	transcription, DNA-dependent|regulation of transcription, DNA-dependent
P75788	transport
C4ZTN2	transport
C4ZW30	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P46923	oxidation-reduction process
P0A6L7	oxidation-reduction process
B1XFK3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P33361	transport
P0ABT8	transport
C5A0J6	glycolysis|phosphorylation
P76460	transport
P0AD96	amino acid transport|transport
P07026	regulation of transcription, DNA-dependent|transcription, DNA-dependent|cell cycle|cell division
C4ZSG7	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P69503	purine ribonucleoside salvage
B1XDT1	methylation
P0CF29	transposition|DNA recombination
P0CE61	transposition|DNA recombination
P76273	methylation|rRNA processing
P76655	transport
P0CF93	transposition|DNA recombination
P37651	cellulose catabolic process|carbohydrate metabolic process|metabolic process|polysaccharide catabolic process
P0ABS8	DNA replication
B1XAT7	transport
P52037	oxidation-reduction process
C4ZXN3	regulation of transcription, DNA-dependent|transcription, DNA-dependent|cell cycle|cell division
C4ZQP1	oxidation-reduction process
P13033	oxidation-reduction process
B1XHB7	purine nucleotide biosynthetic process
P24175	lipopolysaccharide biosynthetic process
B1X751	two-component signal transduction system (phosphorelay)|phosphorylation
B1XF84	oxidation-reduction process
B1XFU1	transport|electron transport chain
P52076	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
B1XBB3	phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1X6R1	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
C4ZPW6	transport
B1X736	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1X6P5	DNA repair|response to DNA damage stimulus|metabolic process
P39357	transport
P08178	purine nucleotide biosynthetic process
C4ZRB7	pyrimidine nucleotide biosynthetic process
P37019	transport|ion transport|response to stress
C4ZXS3	transport|zinc ion transport|ion transport
C4ZRF0	transport
C4ZZQ2	cell cycle|cell division
C4ZX91	regulation of cell shape
P0AF98	transport
C5A0H4	oxidation-reduction process
P28632	DNA replication
B1XCN2	oxidation-reduction process
P0A9F1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A825	one-carbon metabolic process
P33195	oxidation-reduction process
C4ZZU9	oxidation-reduction process|queuosine biosynthetic process
C4ZWX1	defense response to bacterium|cytolysis|metabolic process
B1XGE6	DNA repair|response to DNA damage stimulus
B1XAY2	GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process
C4ZY74	tricarboxylic acid cycle
B1XC80	oxidation-reduction process
C4ZUM9	phosphorylation
C4ZZL1	glycolysis|phosphorylation
B1XEF8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46877	oxidation-reduction process|transport|electron transport chain
P25889	oxidation-reduction process
B1XGZ1	translational elongation|regulation of transcription elongation, DNA-dependent|regulation of transcription, DNA-dependent|transcription, DNA-dependent
P16926	regulation of cell shape
C4ZSW1	carbohydrate metabolic process
B1XEZ2	lipid biosynthetic process|fatty acid biosynthetic process
P77739	phosphorylation
P0A6J8	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
P37902	amino acid transport|transport
A4UR81	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P62617	isoprenoid biosynthetic process
P21179	oxidation-reduction process|hydrogen peroxide catabolic process
P11447	cellular amino acid biosynthetic process|arginine biosynthetic process
C4ZUV4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZW54	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X828	oxidation-reduction process
