Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b3680	putative ARAC-type regulatory protein	ECBD_0022	transcriptional regulator, AraC family	90.90	
b0443	orf, hypothetical protein	ECBD_3212	thioesterase superfamily protein	90.90	
b0367	taurine transport system permease protein	ECBD_3294	binding-protein-dependent transport systems inner membrane component	90.90	
b0136	putative fimbrial protein	ECBD_3483	putative fimbrial protein	90.90	
b3599	PTS system, mannitol-specific enzyme IIABC components	ECBD_0129	PTS system, mannitol-specific IIC subunit	90.89	
b3896	orf, hypothetical protein	ECBD_4129	lipoprotein, putative	90.88	
b3162	inducible ATP-independent RNA helicase	ECBD_0578	DEAD/DEAH box helicase domain protein	90.86	
b0088	UDP-N-acetylmuramoylalanine-D-glutamate ligase	ECBD_3529	UDP-N-acetylmuramoylalanine/D-glutamate ligase	90.86	
b2161	putative transport system permease protein	ECBD_1494	nucleoside transporter	90.86	
b1899	high-affinity L-arabinose transport system; membrane protein, fragment 1	ECBD_1742	inner-membrane translocator	90.86	
b2056	putative colanic acid polymerase	ECBD_1599	colanic acid polymerase WcaD	90.86	
b2701	membrane-bound lytic murein transglycosylase B	ECBD_1024	lytic murein transglycosylase B	90.85	
b3181	transcription elongation factor: cleaves 3 nucleotide of paused mRNA	ECBD_0561	transcription elongation factor GreA	90.84	
b3469	zinc-transporting ATPase	ECBD_0272	heavy metal translocating P-type ATPase	90.84	
b3709	low affinity tryptophan permease	ECBD_4323	aromatic amino acid transporter	90.84	
b0286	putative xanthine dehydrogenase (EC 1.1.1.20)	ECBD_3371	(2Fe-2S)-binding domain protein	90.82	
b2076	orf, hypothetical protein	ECBD_1577	acriflavin resistance protein	90.82	
b2292	putative transport protein	ECBD_1367	Citrate transporter	90.81	
b1663	putative transport protein	ECBD_1980	MATE efflux family protein	90.80	
b3714	putative membrane / transport protein	ECBD_4318	Xanthine/uracil/vitamin C permease	90.78	
b2797	L-serine dehydratase (deaminase), L-SD2	ECBD_0931	L-serine dehydratase 1	90.76	
b3988	RNA polymerase, beta prime subunit	ECBD_4045	DNA-directed RNA polymerase, beta subunit	90.76	
b2706	glucitol operon activator	ECBD_1019	Glucitol operon activator	90.75	
b0613	orf, hypothetical protein	ECBD_3039	triphosphoribosyl-dephospho-CoA synthase CitG	90.75	
b0957	outer membrane protein 3a (II*;G;d)	ECBD_2638	OmpA domain protein transmembrane region-containing protein	90.75	
b1088	orf, hypothetical protein	ECBD_2513	protein of unknown function DUF177	90.75	
b4393	regulator for trp operon and aroH; trp aporepressor	ECBD_3627	Trp operon repressor	90.74	
b2485	hydrogenase 4 membrane subunit	ECBD_1203	NADH-ubiquinone oxidoreductase chain 4L	90.74	
b1353	phage superinfection exclusion protein	ECBD_2263	hypothetical protein	90.74	
b0916	orf, hypothetical protein	ECBD_2679	protein of unknown function DUF1006	90.73	
b2196	cytochrome c-type biogenesis protein	ECBD_1464	cytochrome c assembly protein	90.72	
b2909	orf, hypothetical protein	ECBD_0828	yecA family protein	90.72	
b4055	diadenosine tetraphosphatase	ECBD_3977	HAD superfamily (subfamily IIIB) phosphatase, TIGR01672	90.71	
b3265	transmembrane protein affects septum formation and cell membrane permeability	ECBD_0480	efflux transporter, RND family, MFP subunit	90.64	
b3731	membrane-bound ATP synthase, F1 sector, epsilon-subunit	ECBD_4301	ATP synthase F1, epsilon subunit	90.64	
b0891	periplasmic protein effects translocation of lipoproteins from inner membrane to outer	ECBD_2704	outer membrane lipoprotein carrier protein LolA	90.64	
b4031	xylose-proton symport	ECBD_4005	sugar transporter	90.63	
b1813	orf, hypothetical protein	ECBD_1829	NUDIX hydrolase	90.62	
b1920	putative periplasmic binding transport protein	ECBD_1722	extracellular solute-binding protein family 3	90.60	
b0896	anaerobic dimethyl sulfoxide reductase subunit C	ECBD_2699	DMSO reductase anchor subunit (DmsC)	90.59	
b1516	putative LACI-type transcriptional regulator	ECBD_2126	ABC-type sugar transport system periplasmic component-like protein	90.58	
b3082	orf, hypothetical protein	ECBD_0660	transcriptional regulator, XRE family	90.57	
b3117	threonine dehydratase, catabolic	ECBD_0623	Pyridoxal-5-phosphate-dependent protein beta subunit	90.57	
b2509	exonuclease VII, large subunit	ECBD_1177	exodeoxyribonuclease VII, large subunit	90.57	
b4355	methyl-accepting chemotaxis protein I, serine sensor receptor	ECBD_3664	methyl-accepting chemotaxis sensory transducer	90.56	
b0624	orf, hypothetical protein	ECBD_3026	CrcB protein	90.55	
b3459	orf, hypothetical protein	ECBD_0282	GCN5-related N-acetyltransferase	90.55	
b2375	orf, hypothetical protein	ECBD_1297	conserved hypothetical protein	90.52	
b2612	orf, hypothetical protein	ECBD_1074	protein of unknown function DUF21	90.50	
b0934	putative transport system permease protein	ECBD_2661	binding-protein-dependent transport systems inner membrane component	90.49	
b1590	putative DMSO reductase anchor subunit	ECBD_2056	DMSO reductase anchor subunit (DmsC)	90.49	
b1478	alcohol dehydrogenase	ECBD_2161	Alcohol dehydrogenase zinc-binding domain protein	90.47	
b1116	orf, hypothetical protein	ECBD_2485	lipoprotein releasing system, transmembrane protein, LolC/E family	90.47	
b1115	orf, hypothetical protein	ECBD_2486	acyltransferase 3	90.47	
b3426	sn-glycerol-3-phosphate dehydrogenase (aerobic)	ECBD_0316	FAD dependent oxidoreductase	90.41	
b0808	putative transport protein	ECBD_2815	MscS Mechanosensitive ion channel	90.41	
b2134	penicillin-binding protein 7	ECBD_1524	peptidase S11 D-alanyl-D-alanine carboxypeptidase 1	90.41	
b1917	putative ATP-binding component of a transport system	ECBD_1725	ABC transporter related	90.40	
b0655	putative periplasmic binding transport protein	ECBD_2996	extracellular solute-binding protein family 3	90.39	
b0576	phenylalanine-specific transport system	ECBD_3086	amino acid permease-associated region	90.39	
b0640	DNA polymerase III, delta subunit	ECBD_3011	DNA polymerase III, delta subunit	90.37	
b1620	repressor of malX and Y genes	ECBD_2025	transcriptional regulator, LacI family	90.35	
b2308	histidine transport system permease protein	ECBD_1351	polar amino acid ABC transporter, inner membrane subunit	90.35	
b4381	2-deoxyribose-5-phosphate aldolase	ECBD_3639	deoxyribose-phosphate aldolase	90.34	
b1328	putative transcriptional regulator LYSR-type	ECBD_2288	transcriptional regulator, LysR family	90.30	
b3449	glycerophosphodiester phosphodiesterase, cytosolic	ECBD_0292	glycerophosphoryl diester phosphodiesterase	90.28	
b3258	sodium/pantothenate symporter	ECBD_0487	sodium/pantothenate symporter	90.26	
b3883	putative kinase	ECBD_4144	PfkB domain protein	90.26	
b3882	putative dehydrogenase	ECBD_4145	3-hydroxyisobutyrate dehydrogenase	90.26	
b3147	putative glycosylase	ECBD_0593	LppC family lipoprotein	90.26	
b0807	orf, hypothetical protein	ECBD_2816	rRNA (adenine-N(6)-)-methyltransferase	90.25	
b3221	orf, hypothetical protein	ECBD_0526	conserved hypothetical protein	90.25	
b2135	orf, hypothetical protein	ECBD_1523	protein of unknown function DUF1282	90.25	
b3478	transport of nickel, membrane protein	ECBD_0263	nickel ABC transporter, permease subunit NikC	90.25	
b2475	orf, hypothetical protein	ECBD_1214	protein of unknown function zinc metallopeptidase putative	90.24	
b0689	putative pectinase	ECBD_2972	putative pectinase	90.24	
b4156	putative transport	ECBD_3873	amino acid permease-associated region	90.20	
b3801	arylsulfatase	ECBD_4241	sulfatase	90.19	
b2123	orf, hypothetical protein	ECBD_1536	protein of unknown function DUF1307	90.19	
b2159	endonuclease IV	ECBD_1499	apurinic endonuclease Apn1	90.17	
b1863	Holliday junction nuclease; resolution of structures; repair	ECBD_1775	crossover junction endodeoxyribonuclease RuvC	90.17	
b3823	orf, hypothetical protein	ECBD_4215	homoserine/threonine efflux pump	90.16	
b4042	diacylglycerol kinase	ECBD_3991	Diacylglycerol kinase	90.16	
b3293	orf, hypothetical protein	ECBD_0458	conserved hypothetical protein	90.16	
b3246	orf, hypothetical protein	ECBD_0501	uncharacterized protein YhdP	90.14	
b2128	putative transport system permease protein	ECBD_1530	binding-protein-dependent transport systems inner membrane component	90.12	
b4167	orf, hypothetical protein	ECBD_3867	carbohydrate kinase, YjeF related protein	90.09	
b0861	arginine 3rd transport system permease protein	ECBD_2733	polar amino acid ABC transporter, inner membrane subunit	90.09	
b0145	dnaK suppressor protein	ECBD_3474	transcriptional regulator, TraR/DksA family	90.06	
b3929	menaquinone biosynthesis, unknown	ECBD_4095	regulator of ribonuclease activity A	90.06	
b2100	putative kinase	ECBD_1557	PfkB domain protein	90.03	
b0087	phospho-N-acetylmuramoyl-pentapeptide transferase?	ECBD_3530	phospho-N-acetylmuramoyl-pentapeptide-transferase	90.0	
b0106	putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake	ECBD_3513	type II secretion system protein	90.0	
b1562	polypeptide destructive to membrane potential	ECBD_3601	Hok/gef cell toxic protein	90.0	
b3315	50S ribosomal subunit protein L22	ECBD_0436	ribosomal protein L22	90.0	
b0851	modulator of drug activity A	ECBD_2743	nitroreductase	90.0	
b3741	glucose-inhibited division; chromosome replication?	ECBD_4291	glucose inhibited division protein A	89.98	
b3196	orf, hypothetical protein	ECBD_0546	Na+/Ca+ antiporter, CaCA family	89.96	
b0491	putative metal resistance protein	ECBD_3165	membrane protein, putative	89.96	
b0138	putative fimbrial-like protein	ECBD_3481	putative fimbrial-like adhesin exported protein	89.94	
b1110	orf, hypothetical protein	ECBD_2491	17 kDa surface antigen	89.94	
b3308	50S ribosomal subunit protein L5	ECBD_0443	ribosomal protein L5	89.94	
b3202	RNA polymerase, sigma(54 or 60) factor; nitrogen and fermentation regulation	ECBD_0540	RNA polymerase, sigma 54 subunit, RpoN	89.93	
b3467	putative receptor	ECBD_0274	putative receptor	89.91	
b0838	putative transferase	ECBD_2785	Glutathione S-transferase domain protein	89.90	
b0085	meso-diaminopimelate-adding enzyme	ECBD_3532	UDP-N-acetylmuramyl-tripeptide synthetase	89.89	
b3564	xylulokinase	ECBD_0170	xylulokinase	89.87	
b3138	PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 1 (EIIB-AGA)	ECBD_0602	PTS system, mannose/fructose/sorbose family, IIB subunit	89.87	
b3413	orf, hypothetical protein	ECBD_0332	comF family protein	89.86	
b2576	ATP-dependent RNA helicase	ECBD_1104	DEAD/DEAH box helicase domain protein	89.86	
b3235	protease	ECBD_0512	periplasmic serine protease DegS	89.85	
b1716	50S ribosomal subunit protein L20, and regulator	ECBD_1929	ribosomal protein L20	89.83	
b1787	orf, hypothetical protein	ECBD_1857	YbaK/prolyl-tRNA synthetase associated region	89.82	
b1758	putative cytochrome oxidase	ECBD_1886	CDP-alcohol phosphatidyltransferase	89.80	
b2092	PTS system galactitol-specific enzyme IIC	ECBD_1565	PTS system, galactitol-specific IIC subunit	89.80	
b2934	PTS system, mannitol-specific enzyme II component, cryptic	ECBD_0805	putative PTS IIA-like nitrogen-regulatory protein PtsN	89.79	
b1270	cob(I)alamin adenolsyltransferase	ECBD_2352	cob(I)alamin adenosyltransferase	89.79	
b1928	orf, hypothetical protein	ECBD_1714	lipoprotein, putative	89.78	
b0836	putative receptor	ECBD_2787	biofilm regulator BssR	89.76	
b3096	orf, hypothetical protein	ECBD_0643	conserved hypothetical protein	89.76	
b0313	probably transcriptional repressor of bet genes	ECBD_3345	transcriptional regulator, TetR family	89.74	
b1289	orf, hypothetical protein	ECBD_2328	protein of unknown function DUF559	89.74	
b0975	processing of HyaA and HyaB proteins	ECBD_2620	hydrogenase expression/formation protein	89.74	
b2005	orf, hypothetical protein	ECBD_0051	protein of unknown function DUF1219	89.74	
b0697	ATPase of high-affinity potassium transport system, B chain	ECBD_2963	K+-transporting ATPase, B subunit	89.73	
b1904	orf, hypothetical protein	ECBD_1736	lipoprotein, putative	89.71	
b2528	putative regulator	ECBD_1156	iron-sulfur cluster assembly protein IscA	89.71	
b1557	cold shock protein; may affect transcription	ECBD_2605	cold-shock DNA-binding domain protein	89.70	
b3191	orf, hypothetical protein	ECBD_0551	conserved hypothetical protein	89.69	
b2563	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase	ECBD_1118	holo-acyl-carrier-protein synthase	89.68	
b2164	putative transport system permease protein	ECBD_1497	nucleoside transporter	89.66	
b2865	putative lipoprotein	ECBD_0872	Peptidase M23	89.64	
b2027	regulator of length of O-antigen component of lipopolysaccharide chains	ECBD_1632	lipopolysaccharide biosynthesis protein	89.62	
b3541	putative ATP-binding component of dipeptide transport system	ECBD_0195	oligopeptide/dipeptide ABC transporter, ATPase subunit	89.60	
b2240	sn-glycerol-3-phosphate permease	ECBD_1420	glycerol-3-phosphate transporter	89.60	
b4138	anaerobic dicarboxylate transport	ECBD_3893	anaerobic c4-dicarboxylate antiporter, Dcu family	89.59	
b0856	putrescine transport protein; permease	ECBD_2738	putrescine transporter subunit: membrane component of ABC superfamily	89.58	
b3093	transport of hexuronates	ECBD_0647	d-galactonate transporter	89.58	
b2211	putative ATP-binding component of a transport system	ECBD_1448	cyclic peptide transporter	89.57	
b2987	low-affinity phosphate transport	ECBD_0751	phosphate transporter	89.57	
b0920	orf, hypothetical protein	ECBD_2675	protein of unknown function DUF218	89.57	
b1065	orf, hypothetical protein	ECBD_2535	multidrug resistance protein MdtH	89.55	
b3224	sialic acid transporter	ECBD_0523	sialic acid transporter	89.51	
b0596	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase, enterochelin biosynthesis	ECBD_3058	short-chain dehydrogenase/reductase SDR	89.51	
b1841	orf, hypothetical protein	ECBD_1799	copper resistance protein CopC	89.51	
b3502	arsenical pump membrane protein	ECBD_0238	arsenical pump membrane protein	89.51	
b1363	trk system potassium uptake; part of Rac prophage	ECBD_2255	potassium uptake protein, TrkH family	89.48	
b3481	orf, hypothetical protein	ECBD_0260	transcriptional regulator NikR, CopG family	89.47	
b0583	enterochelin synthetase, component D	ECBD_3073	4-phosphopantetheinyl transferase	89.47	
b4121	orf, hypothetical protein	ECBD_3910	membrane protein, putative	89.47	
b2560	orf, hypothetical protein	ECBD_1122	HAD superfamily (subfamily IF) hydrolase, YfhB	89.47	
b1338	putative aminohydrolase (EC 3.5.1.14)	ECBD_2279	amidohydrolase	89.44	
b0178	histone-like protein, located in outer membrane or nucleoid	ECBD_3441	outer membrane chaperone Skp (OmpH)	89.44	
b2365	transport system permease (serine?)	ECBD_1307	gluconate transporter	89.43	
b4068	orf, hypothetical protein	ECBD_3964	protein of unknown function DUF485	89.42	
b0463	acridine efflux pump	ECBD_3193	efflux transporter, RND family, MFP subunit	89.42	
b1042	curlin major subunit, coiled surface structures; cryptic	ECBD_2557	Curlin associated repeat protein	89.40	
b2575	putative enzyme	ECBD_1105	methyltransferase small	89.38	
b3401	orf, hypothetical protein	ECBD_0345	Hsp33 protein	89.38	
b1583	orf, hypothetical protein	ECBD_2063	protein of unknown function DUF1283	89.38	
b0067	putative transport system permease protein	ECBD_3550	thiamine ABC transporter, inner membrane subunit	89.36	
b2169	PTS system, fructose-specific IIA/fpr component	ECBD_1489	phosphocarrier,  HPr family	89.36	
b0498	orf, hypothetical protein	ECBD_3158	lipoprotein, putative	89.34	
b4152	fumarate reductase, anaerobic, membrane anchor polypeptide	ECBD_3877	fumarate reductase subunit C	89.31	
b3332	putative export protein J for general secretion pathway (GSP)	ECBD_0419	General secretion pathway protein K	89.29	
b3121	orf, hypothetical protein	ECBD_0619	hypothetical protein	89.28	
b2484	hydrogenase 4 membrane subunit	ECBD_1204	NADH/Ubiquinone/plastoquinone (complex I)	89.28	
b0015	chaperone with DnaK; heat shock protein	ECBD_3604	chaperone protein DnaJ	89.27	
b2367	multidrug resistance protein Y	ECBD_1305	drug resistance transporter, EmrB/QacA subfamily	89.25	
b2542	ferredoxin reductase subunit of phenylpropionate dioxygenase	ECBD_1142	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	89.25	
b0818	orf, hypothetical protein	ECBD_2805	Citrate transporter	89.24	
b2997	putative hydrogenase subunit	ECBD_0741	hydrogenase (NiFe) small subunit HydA	89.24	
b0511	putative transport protein	ECBD_3147	NCS1 nucleoside transporter family	89.24	
b0633	a minor lipoprotein	ECBD_3018	Rare lipoprotein A	89.22	
b4136	thiol:disulfide interchange protein; copper tolerance	ECBD_3895	cytochrome c biogenesis protein transmembrane region	89.20	
b0731	protein modification enzyme, induction of ompC	ECBD_2930	PTS system, fructose subfamily, IIC subunit	89.18	
b1604	orf, hypothetical protein	ECBD_2042	protein of unknown function DUF1471	89.17	
b4231	putative transport system permease protein	ECBD_3803	inner-membrane translocator	89.16	
b1256	putative outer membrane protein	ECBD_2366	OmpW family protein	89.15	
